X,,Area (AU),,,,,
,0-50,50-150,150-300,300-800,800-1800,1800-3000,3000-8000
-1075.156,-2621.1165,,,,,,
-1036.311,1501.4255,,,,,,
-1020.932,1487.0455,,,,,,
-1073.759,881.4595,,,,,,
-539.553,140.7355,,,,,,
-379.484,103.9075,,,,,,
-828.035,-795.333499999999,,,,,,
-329.449,-1060.3685,,,,,,
-1390.863,-1563.8505,,,,,,
-365.38,-1618.4025,,,,,,
-1318.587,-2055.4025,,,,,,
-737.311,-2469.6785,,,,,,
-1474.208,-2705.2995,,,,,,
-241.389,2782.2975,,,,,,
-370.689,2036.3305,,,,,,
-599.056,1799.2645,,,,,,
-337.923,1000.1975,,,,,,
-558.023,991.897500000001,,,,,,
-524.189,775.7305,,,,,,
-824.556,-164.9025,,,,,,
-103.456,-361.1695,,,,,,
-562.623,-391.6695,,,,,,
-683.023,-481.5695,,,,,,
-2.32299999999987,-1031.9025,,,,,,
-157.989,-1138.0355,,,,,,
-280.056,-1205.3695,,,,,,
-525.189,-1350.6025,,,,,,
-749.556,-1930.2025,,,,,,
-1430.923,-2262.7355,,,,,,
-798.156,-2266.0695,,,,,,
86.0540000000001,1207.2745,,,,,,
-556.785,996.9205,,,,,,
45.8600000000001,282.1455,,,,,,
-537.398,132.9845,,,,,,
-539.817,125.5975,,,,,,
10.279,43.9205000000002,,,,,,
-565.237,-1016.5315,,,,,,
-702.108,-1075.4995,,,,,,
-625.624,-1564.3055,,,,,,
-1480.204,-1710.3055,,,,,,
-887.108,-2121.9835,,,,,,
-1485.333,-2685.5965,,,,,,
-588.375,2729.9725,,,,,,
-424.781,1656.8165,,,,,,
-313.437,1007.7535,,,,,,
736.782,959.8165,,,,,,
711.594,947.5355,,,,,,
-668.844,526.8785,,,,,,
-1080.218,-710.4025,,,,,,
-530.406,-1342.2775,,,,,,
-1127.468,-1345.4025,,,,,,
-763.468,-1590.9025,,,,,,
-602.906,-1873.2145,,,,,,
-524.312,-1993.5585,,,,,,
-710.656,-2073.6525,,,,,,
