,,Y
635,1421.5,1293.5
636,1947.165,1302.074
637,2182.644,1306.606
638,2545.845,1301.197
639,2786.754,1316.256
640,1007.223,1305.136
641,1972.288,1305.015
642,993.812,1302.312
643,1403.692,1308.2
644,2752.855,1314.954
645,648.665,1322.188
646,1929.5,1304.5
647,2534.392,1311.108
648,1437.03,1342.231
649,1641.557,1324.077
650,1658.217,1307.8
651,2233.807,1313.851
652,1147.783,1317.516
653,2509.589,1316.73
654,1954.796,1311.444
655,1419.697,1315.389
656,1008.744,1321.605
657,1933.974,1328.22
658,1692.157,1327.87
659,2207.5,1310.5
660,2194.227,1321.736
661,617.802,1328.649
662,1974.015,1317.697
663,1977.5,1312.5
664,1979.5,1312.5
665,1944.459,1318.235
666,1407.1,1318.833
667,1679.245,1320.1
668,2212.643,1323.107
669,2530.5,1317.5
670,2570.95,1331.303
671,1660.7,1320.5
672,2252.923,1330.538
673,2544.144,1326.251
674,1394.683,1325.691
675,2527.282,1334.668
676,634.5,1322.5
677,1417.5,1322.5
678,1951.984,1327.458
679,1410.058,1330.394
680,727.5,1324.5
681,1418.5,1325
682,1969.227,1333.004
683,723.845,1338.066
684,1174.895,1343.097
685,1660.307,1331.557
686,1970.327,1344.606
687,1422.977,1333.818
688,1680.23,1331.608
689,1667.509,1341.097
690,2186.558,1360.245
691,2751.891,1331.656
692,1149.655,1334.244
693,1128.55,1352.454
694,2209.832,1338.547
695,1958.2,1338.35
696,2234.073,1344.413
697,2757.616,1345.253
698,2780.647,1353.582
699,1164.875,1339.25
700,1416.485,1344.394
701,646.822,1352.592
702,1138.5,1340.5
703,2914.192,1347.677
704,1145.096,1346.904
705,2934.059,1350.522
706,751.334,1361.52
707,1152,1344.5
708,1160.5,1346
709,1405.058,1352.705
710,1668.195,1361.121
711,1404.18,1378.436
712,1716.5,1346.5
713,2248.019,1361.392
714,1167.676,1350.912
715,2899.5,1353.677
716,719.012,1368.153
717,2223.141,1357.247
718,1158.247,1361.538
719,2886.981,1365.069
720,2950.575,1368.051
721,2923.406,1367.703
722,2907.752,1372.537
723,1422.879,1366.787
724,2937.98,1375.368
725,1148.5,1369.25
726,1154.194,1378.05
727,2880.049,1379.743
728,2889.557,1389.733
729,748.659,1392.951
730,2205.5,1383.5
731,897.199,1398.587
732,2916.2,1393.922
733,933.816,1404.558
734,1315.857,1426.01
735,2383.309,1411.822
736,909.689,1410.968
737,925.658,1408.921
738,2343.5,1406.5
739,2351.876,1416.509
740,1779.092,1419.268
741,2327.587,1417.396
742,1575.422,1416.479
743,923.199,1416.211
744,1271.527,1445.551
745,1809.075,1419.844
746,2671.377,1431.424
747,913.989,1424.287
748,1305.37,1423.556
749,2692.646,1451.191
750,2397.682,1433.75
751,904.181,1436.754
752,1547.069,1444.785
753,1287.209,1438.057
754,1590.005,1432.512
755,1818.033,1428.796
756,924.602,1432.747
757,1609.524,1449.403
758,1794.143,1428.893
759,2060.879,1435.178
760,1570.258,1435.485
761,2323.095,1442.079
762,935.599,1443.005
763,1316.125,1431.167
764,2087.898,1434.737
765,2348.597,1434.477
766,1279.5,1429.5
767,1830.545,1445.135
768,1785.457,1437.575
769,2106.177,1442.558
770,1294.059,1438.415
771,2371.481,1442.866
772,2653.468,1446.325
773,1557.5,1435.5
774,1797.051,1443.235
775,1816.452,1443.855
776,2071.071,1444.265
777,1793.247,1454.959
778,1305.592,1448.987
779,2827.653,1452.012
780,1806.409,1448.827
781,1321.873,1447.958
782,1598.875,1445.75
783,1558.833,1445.833
784,2850.972,1454.329
785,1575.7,1448.3
786,1591.758,1454.369
787,2062.943,1452.041
788,2065.5,1446.5
789,2355.859,1455.29
790,1564.19,1451.5
791,2115.278,1462.968
792,2077.395,1473.47
793,1302.612,1462.48
794,1575.806,1454.944
795,2098.5,1457.989
796,2073.621,1460.605
797,2645.13,1457.357
798,1569.682,1459.136
799,1581.375,1461.281
800,2809.772,1464.907
801,2087.478,1465.566
802,1577.671,1473.965
803,2644.588,1469.344
804,1044.719,1477.301
805,2667.735,1480.519
806,770.5,1464.5
807,2819.587,1478.906
808,2836.177,1486.577
809,2850.659,1489.105
810,1053.537,1491.037
811,1078.437,1504.376
812,1035.268,1512.732
813,1056.292,1500.934
814,1044.657,1509.53
815,2223.705,1511.799
816,1058.583,1508.528
817,626.82,1517.862
818,660.661,1529.197
819,1063.5,1515.439
820,2247.715,1523.477
821,1054.571,1516.786
822,2224.826,1528.384
823,2507.915,1523.921
824,2544.429,1534.577
825,1059.95,1524.864
826,1277.5,1521.5
827,1935.293,1538.529
828,2521.983,1533.306
829,1062.804,1541.245
830,2209.569,1536.507
831,2264.157,1540.573
832,628.84,1549.484
833,1736.344,1543.35
834,1739.5,1531.5
835,1961.013,1537.693
836,1924.5,1535.5
837,1970.5,1536.5
838,2905.088,1544.233
839,2477.929,1554.766
840,2505.118,1543.707
841,1700.832,1554.294
842,2732.578,1547.716
843,2894.986,1554.278
844,1213.395,1548.131
845,2208.108,1561.806
846,2226.616,1550.338
847,2753.659,1553.799
848,1724.466,1548.552
849,2919.222,1559.316
850,1468.091,1553.585
851,1950.302,1547.621
852,804.996,1557.25
853,1973.318,1549.116
854,2248.938,1555.721
855,2770.138,1560.036
856,2544.605,1561.154
857,658.972,1560.877
858,2874.62,1556.716
859,1938.551,1554.753
860,2516.184,1557.388
861,1961.765,1553.294
862,1996.5,1549.5
863,1714,1550.5
864,1986.628,1571.83
865,2272.328,1568.19
866,1738.333,1557.981
867,2724.265,1562.133
868,676.5,1554.5
869,1713.648,1556.5
870,1219.146,1560.27
871,2509.777,1572.075
872,1721.262,1565.952
873,1192.831,1574.668
874,1949.826,1563.326
875,1971.633,1562.389
876,1942.234,1577.38
877,1235.918,1579.595
878,1470.155,1565.452
879,1962.437,1568.091
880,2234.629,1568.918
881,2889.98,1568.684
882,1710.2,1565.75
883,2863.954,1569.214
884,1227.069,1568.345
885,831.945,1579.619
886,1733.7,1567.643
887,1745.167,1570.692
888,1460.616,1575.36
