Area,vx,vy,vz,Group,Row,Order
117,0.89265284431553,-0.358289253768819,-0.273495356759813,8,15,18
117,-0.938982962039865,-0.183342938846662,0.291026397039701,9,17,20
117,-0.025286360935945,-0.123939408280814,-0.991967551397534,10,20,6
118,0.193433362760458,-0.957346777551995,0.214640820167069,2,4,9
118,0.103578609622767,0.661332424918377,0.742907057026782,3,5,12
118,0.805647049143166,0.514822026936724,0.29307185601431,3,6,12
118,0.004924964384684,0.015853276825112,-0.999862199675393,5,10,17
118,-0.341145396094958,-0.556674988878303,-0.75745150041475,7,13,4
118,0.954978180810735,-0.25620119660413,0.149591513910483,8,15,16
118,-0.082119633877994,-0.030040372055717,0.996169635041391,9,17,13
118,-0.299225976520551,0.926440714927858,-0.228410631756235,12,23,10
119,0.113599981365748,-0.185841450908489,-0.97599077831603,3,5,10
119,-0.013742191025047,0.006177258505919,-0.999886490389375,4,7,16
119,-0.662740299891306,-0.184816641014065,-0.725684576179114,4,8,8
119,-0.283274519406127,-0.940433860393801,-0.187988565822608,7,13,6
119,0.092934597833024,0.366890979938496,0.925610160578083,8,15,6
120,0.723110993446009,-0.288603563942517,0.627549578947515,3,5,12
120,0.59943089580784,-0.327002117639952,-0.730583476551447,5,9,12
120,0.225936915433368,0.837076410560661,0.498252539509168,7,13,15
120,0.601317833138121,-0.798989368054841,-0.005731778554739,7,14,6
120,-0.465972398314558,0.616726653195609,-0.634443030734141,7,14,18
120,-0.853615460019804,-0.103953193543187,-0.510425685058414,9,17,11
120,-0.727161600212461,-0.594255822972114,-0.343651020717513,9,18,6
120,0.1274202932354,-0.933125504540129,0.336215498822607,10,19,3
120,0.63557984688902,-0.275544076822657,-0.721189101384983,10,19,20
120,0.01437460567703,-0.004211790065448,0.99988780947468,10,20,11
120,0.293224938104473,-0.304633794313763,0.906210454053377,11,21,19
121,0.877961398639417,-0.038239895836418,-0.477201731834177,3,6,15
121,0.440216931308324,0.315496876410965,0.840637124069837,4,7,7
121,-0.345163322587736,0.766005224087065,0.54230828632017,6,12,8
121,-0.117163567151729,-0.04975591465027,-0.991865438196935,8,15,16
121,0.511459599969463,0.859183027289847,-0.014615170752689,8,15,22
121,0.272478785915678,0.583072575545124,0.765363758531258,9,18,2
121,0.116934758279031,-0.363675021054184,0.924157314188154,10,20,11
121,0.53353174395039,-0.322933055617942,-0.781702065870697,13,26,10
122,-0.173099608233693,-0.367223673363636,-0.913883635563445,3,5,7
122,0.355543656754005,-0.75653849944352,0.548851716770329,3,6,9
122,0.436790433831176,0.891713075677873,-0.118582914362404,4,8,17
122,-0.190952107474114,0.960930511613095,0.200374261077091,6,12,13
122,0.726721120442789,-0.314296673998843,0.61081422201488,6,12,16
122,-0.028468969594664,-0.157717836601621,-0.987073757015109,7,13,8
122,0.802572515955136,-0.542017092454679,0.249188338652551,11,21,8
122,0.237431250325828,0.140541588581275,-0.96118388628179,11,22,2
122,0.003333137555481,-0.589836108477081,0.807516102211373,12,23,16
123,-0.490292391286897,-0.451558590067768,-0.745458389705411,5,10,8
123,-0.342065494540424,0.267403820115557,-0.900825396196412,7,14,8
123,0.234836388863292,-0.857751793205838,-0.457289549101898,9,18,11
123,-0.117220529809234,0.167352690517003,0.978903684929198,11,21,11
124,-0.054588852522446,0.006757213684453,0.998486052603393,2,3,10
124,-0.85247526359819,-0.430149044668581,0.297082016156993,2,4,9
124,-0.983563962097318,-0.115852430407074,-0.138492407128329,3,6,11
124,0.383881329968182,0.338724784531534,0.859011434642127,4,7,15
124,-0.283197538478857,0.300267004136875,0.910845146238471,4,8,8
124,-0.452344775766405,0.851269717823087,-0.265939976976465,7,13,13
124,0.261419577529866,-0.285251417221556,-0.922112484167306,7,13,17
124,0.22842514347718,-0.335907969029519,0.913776663178642,10,19,6
124,0.997838659688934,0.0454185278331,-0.047488593995471,10,20,11
124,-0.296215178706166,-0.952494960064656,0.070780780975507,12,24,12
125,0.544880052092755,0.578271103307512,0.60721352085647,3,6,16
125,0.535398061168924,0.221516860042177,0.815033248900688,5,9,11
125,-0.015823610944723,-0.04055411608799,0.999052039187645,6,12,21
125,2.11E-05,0.653092065953299,-0.75727851741781,8,15,23
125,0.859826212109593,-0.164350833248984,-0.483412544913383,9,17,14
